lang	qwen3_8b	opus_4_6	gpt52	facti	gemini_3_5
km	0.5374149659863946	0.7619047619047619	0.6666666666666666	0.8571428571428571	0.8435374149659864
kn	0.4825174825174825	0.7972027972027972	0.7132867132867133	0.7692307692307693	0.7959183673469388
ko	0.4965986394557823	0.8095238095238095	0.7346938775510204	0.8639455782312925	0.782312925170068
ku	0.4071428571428571	0.7571428571428571	0.7285714285714285	0.7714285714285715	0.8367346938775511
ky	0.5068493150684932	0.773972602739726	0.7328767123287672	0.726027397260274	0.782312925170068
la	0.541095890410959	0.7602739726027398	0.678082191780822	0.863013698630137	0.8435374149659864
lb	0.5170068027210885	0.7551020408163265	0.6802721088435374	0.6666666666666666	0.8707482993197279
lg	0.5174825174825175	0.7692307692307693	0.6433566433566433	0.6013986013986014	0.8367346938775511
ln	0.4057971014492754	0.7536231884057971	0.717391304347826	0.6956521739130435	0.8163265306122449
lo	0.5238095238095238	0.7414965986394558	0.7482993197278912	0.8231292517006803	0.8231292517006803
lt	0.5862068965517241	0.7655172413793103	0.6275862068965518	0.8551724137931035	0.8299319727891157
lv	0.4149659863945578	0.7346938775510204	0.7142857142857143	0.8571428571428571	0.7959183673469388
mg	0.4896551724137931	0.7172413793103448	0.6758620689655173	0.8413793103448276	0.8027210884353742
mi	0.4589041095890411	0.7328767123287672	0.6301369863013698	0.6301369863013698	0.8435374149659864
mk	0.4657534246575342	0.8082191780821918	0.6986301369863014	0.8561643835616438	0.8231292517006803
ml	0.4657534246575342	0.7808219178082192	0.7123287671232876	0.7534246575342466	0.8095238095238095
mn	0.4285714285714285	0.7619047619047619	0.6394557823129252	0.8027210884353742	0.782312925170068
mr	0.4761904761904761	0.8027210884353742	0.6530612244897959	0.7074829931972789	0.7959183673469388
ms	0.4652777777777778	0.7777777777777778	0.6597222222222222	0.8333333333333334	0.8027210884353742
mt	0.4420289855072464	0.7318840579710145	0.6811594202898551	0.717391304347826	0.8231292517006803
my	0.541095890410959	0.773972602739726	0.7328767123287672	0.7397260273972602	0.8843537414965986
ne	0.5374149659863946	0.8163265306122449	0.7346938775510204	0.8163265306122449	0.8435374149659864
nl	0.4965986394557823	0.7482993197278912	0.7346938775510204	0.782312925170068	0.8639455782312925
no	0.5103448275862069	0.7793103448275862	0.696551724137931	0.8413793103448276	0.8095238095238095
ny	0.4344827586206896	0.7448275862068966	0.6482758620689655	0.7310344827586207	0.8231292517006803
om	0.4551724137931034	0.7448275862068966	0.7172413793103448	0.8068965517241379	0.8095238095238095
or	0.5714285714285714	0.782312925170068	0.7959183673469388	0.7346938775510204	0.8435374149659864
pa	0.5170068027210885	0.7891156462585034	0.7482993197278912	0.7346938775510204	0.8435374149659864
pl	0.5273972602739726	0.821917808219178	0.6301369863013698	0.7671232876712328	0.8231292517006803
ps	0.564625850340136	0.7755102040816326	0.6938775510204082	0.7959183673469388	0.8571428571428571
pt	0.5034013605442177	0.7687074829931972	0.6938775510204082	0.8571428571428571	0.8231292517006803
qu	0.4285714285714285	0.8095238095238095	0.6938775510204082	0.782312925170068	0.8435374149659864
ro	0.4931506849315068	0.7808219178082192	0.6986301369863014	0.8561643835616438	0.8027210884353742
ru	0.4620689655172413	0.7793103448275862	0.6896551724137931	0.8620689655172413	0.8095238095238095
rw	0.5	0.7573529411764706	0.6838235294117647	0.6838235294117647	0.8367346938775511
sa	0.4246575342465753	0.7808219178082192	0.7534246575342466	0.7671232876712328	0.8571428571428571
sd	0.4693877551020408	0.782312925170068	0.7278911564625851	0.7482993197278912	0.7959183673469388
si	0.4589041095890411	0.8013698630136986	0.6575342465753424	0.8013698630136986	0.8367346938775511
sk	0.5205479452054794	0.7808219178082192	0.6986301369863014	0.8424657534246576	0.8163265306122449
sl	0.5068493150684932	0.7876712328767124	0.6575342465753424	0.8493150684931506	0.8435374149659864
sm	0.5140845070422535	0.8028169014084507	0.6619718309859155	0.6056338028169014	0.8639455782312925
sn	0.3985507246376811	0.6956521739130435	0.6159420289855072	0.7318840579710145	0.8163265306122449
so	0.5172413793103449	0.7241379310344828	0.6689655172413793	0.8620689655172413	0.8231292517006803
sq	0.5724137931034483	0.7724137931034483	0.6413793103448275	0.8827586206896552	0.7891156462585034
sr	0.5170068027210885	0.8027210884353742	0.6530612244897959	0.8503401360544217	0.7891156462585034
st	0.5208333333333334	0.7013888888888888	0.6319444444444444	0.6944444444444444	0.8367346938775511
su	0.4761904761904761	0.7551020408163265	0.7142857142857143	0.782312925170068	0.8503401360544217
sv	0.4589041095890411	0.726027397260274	0.6575342465753424	0.8013698630136986	0.8163265306122449
sw	0.5102040816326531	0.7482993197278912	0.6666666666666666	0.8435374149659864	0.8231292517006803
ta	0.4246575342465753	0.7876712328767124	0.7328767123287672	0.726027397260274	0.8163265306122449
te	0.5547945205479452	0.7945205479452054	0.7191780821917808	0.726027397260274	0.8231292517006803
tg	0.5401459854014599	0.7445255474452555	0.6642335766423357	0.8029197080291971	0.8435374149659864
th	0.5	0.7465753424657534	0.547945205479452	0.8767123287671232	0.8367346938775511
ti	0.5	0.7534246575342466	0.8013698630136986	0.7328767123287672	0.8356164383561644
tk	0.5079365079365079	0.7698412698412699	0.7380952380952381	0.8015873015873016	0.7891156462585034
tl	0.5238095238095238	0.8027210884353742	0.6666666666666666	0.8231292517006803	0.8503401360544217
tr	0.5306122448979592	0.7891156462585034	0.6802721088435374	0.8367346938775511	0.8163265306122449
ts	0.5323741007194245	0.697841726618705	0.7266187050359713	0.7410071942446043	0.8435374149659864
tt	0.4930555555555556	0.7222222222222222	0.7013888888888888	0.7638888888888888	0.7959183673469388
ug	0.4965986394557823	0.7346938775510204	0.6190476190476191	0.7755102040816326	0.8027210884353742
uk	0.5136986301369864	0.773972602739726	0.6917808219178082	0.8561643835616438	0.7959183673469388
ur	0.4353741496598639	0.8163265306122449	0.7414965986394558	0.782312925170068	0.8299319727891157
uz	0.5821917808219178	0.7876712328767124	0.7123287671232876	0.8082191780821918	0.7891156462585034
vi	0.4557823129251701	0.7687074829931972	0.7006802721088435	0.8707482993197279	0.8231292517006803
xh	0.5586206896551724	0.7862068965517242	0.6620689655172414	0.7724137931034483	0.8231292517006803
yi	0.4726027397260274	0.7397260273972602	0.6643835616438356	0.7465753424657534	0.8639455782312925
yo	0.5172413793103449	0.7931034482758621	0.6689655172413793	0.5655172413793104	0.7959183673469388
zh	0.4829931972789115	0.7074829931972789	0.6802721088435374	0.8707482993197279	0.782312925170068
zu	0.4857142857142857	0.8071428571428572	0.7357142857142858	0.7642857142857142	0.8639455782312925
